Id,NAME,ADDRESS,CITY,STATE_HEADQUARTERED,ZIP,PHONE,AMOUNT_COVERED,AMOUNT_UNCOVERED,REVENUE,COVERED_ENCOUNTERS,UNCOVERED_ENCOUNTERS,COVERED_MEDICATIONS,UNCOVERED_MEDICATIONS,COVERED_PROCEDURES,UNCOVERED_PROCEDURES,COVERED_IMMUNIZATIONS,UNCOVERED_IMMUNIZATIONS,UNIQUE_CUSTOMERS,QOLS_AVG,MEMBER_MONTHS
b3221cfc-24fb-339e-823d-bc4136cbc4ed,Dual Eligible,7500 Security Blvd,Baltimore,MD,21244,1-877-267-2323,39399.51,29067.72,422500.00,334,0,160,0,171,0,103,0,12,0.5285597929608791,1044
7caa7254-5050-3b5e-9eae-bd5ea30e809c,Medicare,7500 Security Blvd,Baltimore,MD,21244,1-800-633-4227,1874261.30,504996.67,4506000.00,8115,0,7466,0,5445,0,1764,0,116,0.8004777737404986,18684
7c4411ce-02f1-39b5-b9ec-dfbea9ad3c1a,Medicaid,7500 Security Blvd,Baltimore,MD,21244,1-877-267-2323,1172686.59,752844.43,8763250.00,12181,0,2761,0,22705,0,3363,0,251,0.842043394691509,37212
d47b3510-2895-3b70-9897-342d681c769d,Humana,500 West Main St,Louisville,KY,40018,1-844-330-7799,354995.16,623658.73,73220700.00,8728,1205,0,4899,8209,425,4191,192,159,0.9349576137966558,43332
6e2f1a2d-27bd-3701-8d08-dae202c58632,Blue Cross Blue Shield,Michigan Plaza,Chicago,IL,60007,1-800-262-2583,828056.97,748881.70,83941200.00,9254,0,4100,0,8006,0,4539,0,163,0.9180989986875013,46956
5059a55e-5d6e-34d1-b6cb-d83d16e57bcf,UnitedHealthcare,9800 Healthcare Lane,Minnetonka,MN,55436,1-888-545-5205,319078.34,366520.00,66239700.00,5893,1030,0,2783,6350,346,3235,135,146,0.8961059840038361,35112
4d71f845-a6a9-3c39-b242-14d25ef86a8d,Aetna,151 Farmington Ave,Hartford,CT,6156,1-800-872-3862,501243.46,486070.00,98288000.00,8405,1274,0,4102,8262,378,4398,201,173,0.9342430415865514,49536
047f6ec3-6215-35eb-9608-f9dda363a44c,Cigna Health,900 Cottage Grove Rd,Bloomfield,CT,6002,1-800-997-1654,426510.56,359160.00,74329500.00,6731,785,0,2733,7357,261,3433,126,139,0.9185954234259618,35652
42c4fca7-f8a9-3cd1-982a-dd9751bf3e2a,Anthem,220 Virginia Ave,Indianapolis,IN,46204,1-800-331-1476,255288.16,119405.00,72762800.00,2901,4183,0,2811,1305,5870,3238,175,132,0.9346646111517918,33288
b1c428d6-4f07-31e0-90f0-68ffa6ff8c76,NO_INSURANCE,,,,,,0.00,4023785.27,0.00,0,3796,0,1575,0,2826,0,1771,39,1.1346648441024725,13980
